NMSG,CPU_MAX,CPU_AVG,ANOMALY
377913.0,5.04,3.39,0.0
313887.0,6.14,3.8,0.0
198643.0,3.7,2.24,0.0
106526.0,2.65,1.68,0.0
66607.0,2.12,1.76,0.0
78652.0,2.1,1.35,0.0
55483.0,2.33,1.35,0.0
81930.0,1.75,1.2,0.0
65229.0,2.09,1.23,0.0
119189.0,2.13,1.45,1.0
243941.0,3.14,2.23,0.0
520228.0,5.48,3.97,0.0
903017.0,7.88,6.27,0.0
1183556.0,9.63,7.98,0.0
1238797.0,10.01,8.69,0.0
1152416.0,10.11,8.19,0.0
889638.0,8.34,6.62,0.0
735701.0,6.58,5.69,0.0
704076.0,6.37,5.47,0.0
918066.0,8.31,6.6,0.0
1193600.0,10.56,8.31,0.0
1384926.0,11.12,9.64,0.0
1131890.0,10.26,8.17,0.0
605738.0,6.29,4.74,0.0
404439.0,4.22,3.62,0.0
350391.0,6.82,4.11,0.0
225120.0,4.45,2.57,0.0
121259.0,2.35,1.73,0.0
68738.0,2.27,1.9,0.0
70092.0,1.86,1.29,0.0
35770.0,1.88,1.14,0.0
60847.0,1.37,1.04,0.0
67052.0,2.24,1.27,0.0
118920.0,100.0,3.06,0.0
260237.0,3.2,2.26,0.0
550315.0,5.52,4.06,0.0
912866.0,7.9,6.32,0.0
1165632.0,9.98,8.03,0.0
1263018.0,10.44,9.0,0.0
1156478.0,10.18,8.52,0.0
892013.0,8.3,6.73,0.0
748823.0,7.2,5.92,0.0
768326.0,6.85,5.77,0.0
925754.0,8.54,6.8,0.0
1211819.0,10.58,8.53,0.0
1374211.0,11.03,9.58,0.0
1135052.0,10.1,8.33,0.0
631719.0,7.01,5.17,0.0
436776.0,4.77,3.89,0.0
391358.0,7.23,4.71,0.0
257929.0,4.15,2.58,0.0
131780.0,2.48,1.74,0.0
73231.0,2.16,1.89,0.0
72704.0,1.98,1.37,0.0
42939.0,1.77,1.07,0.0
54102.0,2.46,1.23,0.0
64421.0,2.11,1.23,0.0
112560.0,2.12,1.44,0.0
270629.0,3.49,2.55,0.0
583026.0,6.02,4.33,0.0
968518.0,8.74,6.7,0.0
1165099.0,10.52,8.37,0.0
1290001.0,10.63,9.18,0.0
1161807.0,10.45,8.54,0.0
889485.0,8.7,7.07,0.0
744085.0,7.14,5.88,0.0
755188.0,6.9,5.75,0.0
925083.0,8.77,6.92,0.0
1200374.0,10.81,8.63,0.0
1398201.0,11.26,9.74,0.0
1131500.0,10.57,8.46,1.0
655179.0,7.13,5.35,0.0
464243.0,4.78,4.11,0.0
411557.0,7.78,4.59,0.0
271908.0,4.29,2.67,0.0
151191.0,2.63,1.98,0.0
90756.0,2.74,1.97,0.0
86108.0,2.18,1.46,0.0
45916.0,2.67,1.32,0.0
58215.0,1.42,1.01,0.0
71242.0,2.29,1.22,0.0
112919.0,2.47,1.57,0.0
263483.0,3.26,2.24,0.0
545554.0,5.67,4.13,0.0
916161.0,8.59,6.67,0.0
1242360.0,10.4,8.54,0.0
1366361.0,11.14,9.52,0.0
1239897.0,10.75,9.07,0.0
950200.0,8.89,7.08,0.0
775688.0,7.48,6.21,0.0
824353.0,7.16,6.18,0.0
1016010.0,9.45,7.55,0.0
1305517.0,11.58,9.31,0.0
1420273.0,11.32,9.86,0.0
1172384.0,10.25,8.2,0.0
663334.0,6.6,5.15,0.0
478208.0,5.1,4.15,0.0
420454.0,7.06,4.6,0.0
327306.0,4.55,3.04,0.0
193367.0,3.3,2.13,0.0
110049.0,2.63,2.1,0.0
94427.0,2.76,1.78,0.0
54950.0,2.67,1.31,0.0
69400.0,1.54,1.12,0.0
63141.0,2.37,1.16,0.0
87474.0,2.61,1.63,0.0
191338.0,2.62,1.97,0.0
526444.0,5.48,3.85,0.0
1051333.0,9.84,7.32,0.0
1484026.0,12.3,10.23,0.0
1751740.0,13.83,12.07,0.0
1464341.0,13.03,10.81,0.0
930325.0,8.9,7.17,0.0
811127.0,7.1,6.37,0.0
834667.0,7.18,6.33,0.0
963481.0,9.05,7.24,0.0
1160291.0,10.46,8.59,0.0
1318150.0,10.79,9.36,0.0
1144133.0,10.61,9.41,0.0
697226.0,8.8,7.26,0.0
496236.0,6.99,6.0,0.0
