date,NMSG,CPU_MAX,CPU_AVG,ANOMALY
2021-07-12 21:00:00,377913.0,5.04,3.39,0.0
2021-07-12 22:00:00,313887.0,6.14,3.8,0.0
2021-07-12 23:00:00,198643.0,3.7,2.24,0.0
2021-07-13 00:00:00,106526.0,2.65,1.68,0.0
2021-07-13 01:00:00,66607.0,2.12,1.76,0.0
2021-07-13 02:00:00,78652.0,2.1,1.35,0.0
2021-07-13 03:00:00,55483.0,2.33,1.35,0.0
2021-07-13 04:00:00,81930.0,1.75,1.2,0.0
2021-07-13 05:00:00,65229.0,2.09,1.23,0.0
2021-07-13 06:00:00,119189.0,2.13,1.45,1.0
2021-07-13 07:00:00,243941.0,3.14,2.23,0.0
2021-07-13 08:00:00,520228.0,5.48,3.97,0.0
2021-07-13 09:00:00,903017.0,7.88,6.27,0.0
2021-07-13 10:00:00,1183556.0,9.63,7.98,0.0
2021-07-13 11:00:00,1238797.0,10.01,8.69,0.0
2021-07-13 12:00:00,1152416.0,10.11,8.19,0.0
2021-07-13 13:00:00,889638.0,8.34,6.62,0.0
2021-07-13 14:00:00,735701.0,6.58,5.69,0.0
2021-07-13 15:00:00,704076.0,6.37,5.47,0.0
2021-07-13 16:00:00,918066.0,8.31,6.6,0.0
2021-07-13 17:00:00,1193600.0,10.56,8.31,0.0
2021-07-13 18:00:00,1384926.0,11.12,9.64,0.0
2021-07-13 19:00:00,1131890.0,10.26,8.17,0.0
2021-07-13 20:00:00,605738.0,6.29,4.74,0.0
2021-07-13 21:00:00,404439.0,4.22,3.62,0.0
2021-07-13 22:00:00,350391.0,6.82,4.11,0.0
2021-07-13 23:00:00,225120.0,4.45,2.57,0.0
2021-07-14 00:00:00,121259.0,2.35,1.73,0.0
2021-07-14 01:00:00,68738.0,2.27,1.9,0.0
2021-07-14 02:00:00,70092.0,1.86,1.29,0.0
2021-07-14 03:00:00,35770.0,1.88,1.14,0.0
2021-07-14 04:00:00,60847.0,1.37,1.04,0.0
2021-07-14 05:00:00,67052.0,2.24,1.27,0.0
2021-07-14 06:00:00,118920.0,100.0,3.06,0.0
2021-07-14 07:00:00,260237.0,3.2,2.26,0.0
2021-07-14 08:00:00,550315.0,5.52,4.06,0.0
