ds,y
2021-01-01,3339149.0
2021-01-02,9143692.0
2021-01-03,8210354.0
2021-01-04,14744685.0
2021-01-05,12361025.0
2021-01-06,5444736.0
2021-01-07,13298443.0
2021-01-08,14058402.0
2021-01-09,12626326.0
2021-01-10,6039529.0
2021-01-11,12177823.0
2021-01-12,12502665.0
2021-01-13,12364799.0
2021-01-14,12509763.0
2021-01-15,13710212.0
2021-01-16,14225636.0
2021-01-17,6064442.0
2021-01-18,11272908.0
2021-01-19,11677073.0
2021-01-20,11543776.0
2021-01-21,11567324.0
2021-01-22,12663439.0
2021-01-23,13293575.0
2021-01-24,6946629.0
2021-01-25,12224940.0
2021-01-26,11812793.0
2021-01-27,13019486.0
2021-01-28,12773456.0
2021-01-29,13579323.0
2021-01-30,14152256.0
2021-01-31,6949527.0
2021-02-01,14053113.0
2021-02-02,14424129.0
2021-02-03,14569371.0
2021-02-04,13132043.0
2021-02-05,14086475.0
2021-02-06,14883663.0
2021-02-07,7575704.0
2021-02-08,12342558.0
2021-02-09,12787839.0
2021-02-10,12910424.0
2021-02-11,13720226.0
2021-02-12,14958624.0
2021-02-13,15369523.0
2021-02-14,8286171.0
2021-02-15,12637066.0
2021-02-16,12381006.0
2021-02-17,12668139.0
2021-02-18,11969251.0
2021-02-19,13988491.0
2021-02-20,14858768.0
2021-02-21,7513518.0
2021-02-22,12277479.0
2021-02-23,12988097.0
2021-02-24,12985209.0
2021-02-25,13543026.0
2021-02-26,14614810.0
2021-02-27,15644726.0
2021-02-28,8809703.0
2021-03-01,14631783.0
2021-03-02,14752205.0
2021-03-03,15225060.0
2021-03-04,13421509.0
2021-03-05,14315360.0
2021-03-06,14723175.0
2021-03-07,7458237.0
2021-03-08,12487892.0
2021-03-09,12174957.0
2021-03-10,12700565.0
2021-03-11,12864965.0
2021-03-12,14356699.0
2021-03-13,15304195.0
2021-03-14,7746895.0
2021-03-15,11266998.0
2021-03-16,11795276.0
2021-03-17,11623813.0
2021-03-18,11938220.0
2021-03-19,13094226.0
2021-03-20,13076544.0
2021-03-21,6499446.0
2021-03-22,11692262.0
2021-03-23,12097587.0
2021-03-24,11883384.0
2021-03-25,12036656.0
2021-03-26,13736914.0
2021-03-27,15149951.0
2021-03-28,6650115.0
2021-03-29,12097341.0
2021-03-30,12846050.0
2021-03-31,13386742.0
2021-04-01,16155721.0
2021-04-02,17280372.0
2021-04-03,17651741.0
2021-04-04,3974181.0
2021-04-05,4952226.0
2021-04-06,12756312.0
2021-04-07,12588257.0
2021-04-08,12686809.0
2021-04-09,13573656.0
2021-04-10,13843684.0
2021-04-11,6473941.0
2021-04-12,7671224.0
2021-04-13,3682752.0
2021-04-14,12701541.0
2021-04-15,12921901.0
2021-04-16,14021295.0
2021-04-17,15017367.0
2021-04-18,7032936.0
2021-04-19,11950423.0
2021-04-20,12607308.0
2021-04-21,12673514.0
2021-04-22,13003859.0
2021-04-23,13876486.0
2021-04-24,15324351.0
2021-04-25,7427128.0
2021-04-26,12705868.0
2021-04-27,13430484.0
2021-04-28,10097980.0
2021-04-29,13689700.0
2021-04-30,16445943.0
2021-05-01,10255915.0
2021-05-02,10129049.0
2021-05-03,17304346.0
2021-05-04,15128566.0
2021-05-05,15193642.0
2021-05-06,15185015.0
2021-05-07,16724522.0
2021-05-08,17920760.0
2021-05-09,9779239.0
2021-05-10,14278903.0
2021-05-11,14203970.0
2021-05-12,12180621.0
2021-05-13,14222678.0
2021-05-14,15046519.0
2021-05-15,16489829.0
2021-05-16,8874846.0
